datetime,agent,seed,steps,score,cargo,deliveries,active_goals,delayed_goals,sticky_target,max_carry,urgent_threshold
2025-09-13 20:09:46,default,2,128,172,0,6,0,0,False,,
2025-09-13 20:09:47,default,2,133,104,0,6,0,0,False,,
2025-09-13 20:09:48,default,2,133,34,0,6,0,0,False,,
2025-09-13 20:09:49,default,2,133,82,0,6,0,0,False,,
2025-09-13 20:09:50,default,2,133,86,0,6,0,0,False,,
2025-09-13 20:09:51,greedy,2,128,138,0,6,0,0,False,,
2025-09-13 20:09:52,greedy,2,133,100,0,6,0,0,False,,
2025-09-13 20:09:52,greedy,2,133,104,0,6,0,0,False,,
2025-09-13 20:09:53,greedy,2,128,151,0,6,0,0,False,,
2025-09-13 20:09:54,greedy,2,128,115,0,6,0,0,False,,
2025-09-13 20:09:55,deadline,2,168,94,0,6,0,0,False,,7
2025-09-13 20:09:55,deadline,2,155,88,0,6,0,0,False,,7
2025-09-13 20:09:56,deadline,2,181,8,0,6,0,0,False,,7
2025-09-13 20:09:57,deadline,2,170,73,0,6,0,0,False,,7
2025-09-13 20:09:58,deadline,2,146,154,0,6,0,0,False,,7
2025-09-13 20:09:58,deadline,2,186,8,0,6,0,0,False,,10
2025-09-13 20:09:59,deadline,2,156,135,0,6,0,0,False,,10
2025-09-13 20:10:00,deadline,2,172,67,0,6,0,0,False,,10
2025-09-13 20:10:01,deadline,2,200,-75,0,6,0,0,False,,10
2025-09-13 20:10:02,deadline,2,170,-25,0,6,0,0,False,,10
2025-09-13 20:10:02,deadline,2,190,-11,0,6,0,0,False,,15
2025-09-13 20:10:03,deadline,2,169,29,0,6,0,0,False,,15
2025-09-13 20:10:04,deadline,2,148,124,0,6,0,0,False,,15
2025-09-13 20:10:05,deadline,2,189,-4,0,6,0,0,False,,15
2025-09-13 20:10:06,deadline,2,193,-38,0,6,0,0,False,,15
2025-09-13 20:10:07,smart,2,174,31,0,6,0,0,False,1,7
2025-09-13 20:10:08,smart,2,190,3,0,6,0,0,False,1,7
2025-09-13 20:10:09,smart,2,182,30,0,6,0,0,False,1,7
2025-09-13 20:10:09,smart,2,206,-112,0,6,0,0,False,1,7
2025-09-13 20:10:10,smart,2,184,9,0,6,0,0,False,1,7
2025-09-13 20:10:11,smart,2,184,18,0,6,0,0,False,2,7
2025-09-13 20:10:12,smart,2,196,-9,0,6,0,0,False,2,7
2025-09-13 20:10:13,smart,2,223,-183,0,6,0,0,False,2,7
2025-09-13 20:10:14,smart,2,195,-17,0,6,0,0,False,2,7
2025-09-13 20:10:15,smart,2,205,-80,0,6,0,0,False,2,7
2025-09-13 20:10:15,smart,2,188,-7,0,6,0,0,False,3,7
2025-09-13 20:10:16,smart,2,172,78,0,6,0,0,False,3,7
2025-09-13 20:10:17,smart,2,207,-62,0,6,0,0,False,3,7
2025-09-13 20:10:18,smart,2,222,-90,0,6,0,0,False,3,7
2025-09-13 20:10:19,smart,2,174,82,0,6,0,0,False,3,7
2025-09-13 20:10:20,smart,2,170,69,0,6,0,0,False,1,10
2025-09-13 20:10:21,smart,2,174,-22,0,6,0,0,False,1,10
2025-09-13 20:10:21,smart,2,218,-169,0,6,0,0,False,1,10
2025-09-13 20:10:22,smart,2,200,-110,0,6,0,0,False,1,10
2025-09-13 20:10:23,smart,2,223,-117,0,6,0,0,False,1,10
2025-09-13 20:10:24,smart,2,196,-6,0,6,0,0,False,2,10
2025-09-13 20:10:25,smart,2,212,-127,0,6,0,0,False,2,10
2025-09-13 20:10:26,smart,2,196,-17,0,6,0,0,False,2,10
2025-09-13 20:10:27,smart,2,148,121,0,6,0,0,False,2,10
2025-09-13 20:10:28,smart,2,202,-52,0,6,0,0,False,2,10
2025-09-13 20:10:29,smart,2,214,-93,0,6,0,0,False,3,10
2025-09-13 20:10:29,smart,2,148,103,0,6,0,0,False,3,10
2025-09-13 20:10:30,smart,2,201,-80,0,6,0,0,False,3,10
2025-09-13 20:10:31,smart,2,184,-37,0,6,0,0,False,3,10
2025-09-13 20:10:32,smart,2,178,91,0,6,0,0,False,3,10
2025-09-13 20:10:33,smart,2,200,-25,0,6,0,0,False,1,15
2025-09-13 20:10:34,smart,2,166,73,0,6,0,0,False,1,15
2025-09-13 20:10:35,smart,2,167,10,0,6,0,0,False,1,15
2025-09-13 20:10:36,smart,2,184,-41,0,6,0,0,False,1,15
2025-09-13 20:10:36,smart,2,184,49,0,6,0,0,False,1,15
2025-09-13 20:10:37,smart,2,234,-184,0,6,0,0,False,2,15
2025-09-13 20:10:38,smart,2,202,-130,0,6,0,0,False,2,15
2025-09-13 20:10:39,smart,2,216,-109,0,6,0,0,False,2,15
2025-09-13 20:10:40,smart,2,240,-251,0,6,0,0,False,2,15
2025-09-13 20:10:41,smart,2,198,-9,0,6,0,0,False,2,15
2025-09-13 20:10:42,smart,2,162,90,0,6,0,0,False,3,15
2025-09-13 20:10:43,smart,2,164,94,0,6,0,0,False,3,15
2025-09-13 20:10:44,smart,2,190,4,0,6,0,0,False,3,15
2025-09-13 20:10:44,smart,2,224,-124,0,6,0,0,False,3,15
2025-09-13 20:10:45,smart,2,176,21,0,6,0,0,False,3,15
2025-09-13 20:10:46,default,2,134,65,0,6,0,0,True,,
2025-09-13 20:10:47,default,2,134,71,0,6,0,0,True,,
2025-09-13 20:10:47,default,2,134,77,0,6,0,0,True,,
2025-09-13 20:10:48,default,2,134,28,0,6,0,0,True,,
2025-09-13 20:10:49,default,2,134,135,0,6,0,0,True,,
2025-09-13 20:10:50,greedy,2,134,114,0,6,0,0,True,,
2025-09-13 20:10:50,greedy,2,133,43,0,6,0,0,True,,
2025-09-13 20:10:51,greedy,2,134,51,0,6,0,0,True,,
2025-09-13 20:10:52,greedy,2,134,80,0,6,0,0,True,,
2025-09-13 20:10:53,greedy,2,134,34,0,6,0,0,True,,
2025-09-13 20:10:53,deadline,2,198,-23,0,6,0,0,True,,7
2025-09-13 20:10:54,deadline,2,169,-6,0,6,0,0,True,,7
2025-09-13 20:10:55,deadline,2,182,-18,0,6,0,0,True,,7
2025-09-13 20:10:56,deadline,2,161,47,0,6,0,0,True,,7
2025-09-13 20:10:57,deadline,2,180,-10,0,6,0,0,True,,7
2025-09-13 20:10:57,deadline,2,210,-86,0,6,0,0,True,,10
2025-09-13 20:10:58,deadline,2,222,-129,0,6,0,0,True,,10
2025-09-13 20:10:59,deadline,2,186,-90,0,6,0,0,True,,10
2025-09-13 20:11:00,deadline,2,174,89,0,6,0,0,True,,10
2025-09-13 20:11:01,deadline,2,176,47,0,6,0,0,True,,10
2025-09-13 20:11:02,deadline,2,182,-11,0,6,0,0,True,,15
2025-09-13 20:11:03,deadline,2,164,72,0,6,0,0,True,,15
2025-09-13 20:11:04,deadline,2,200,-56,0,6,0,0,True,,15
2025-09-13 20:11:04,deadline,2,200,-48,0,6,0,0,True,,15
2025-09-13 20:11:05,deadline,2,182,-31,0,6,0,0,True,,15
2025-09-13 20:11:06,smart,2,160,100,0,6,0,0,True,1,7
2025-09-13 20:11:07,smart,2,176,71,0,6,0,0,True,1,7
2025-09-13 20:11:08,smart,2,187,-30,0,6,0,0,True,1,7
